ZZXP;AGR;ARC;AGRDESC;AGRDESCen;DESC;DESCen;PR1;Q1;PR2;Q2;PR3;Q3;PR4;Q4;PR5;Q5
7049;D9803;12-XXS-36.810000E;SiT8008BI MEMs Oszillatoren 30-39,9MHz;SiT8008BI MEMs Oscillators 30-39,9MHz;SMD-MEMS Osz 2,5x2,0 36,81MHz;SMD MEMS Osc 2,5x2,0 36,81MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7050;D9803;12-XXS-36.864000E;SiT8008BI MEMs Oszillatoren 30-39,9MHz;SiT8008BI MEMs Oscillators 30-39,9MHz;SMD-MEMS Osz 2,5x2,0 36,864MHz;SMD MEMS Osc 2,5x2,0 36,864MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7051;D9803;12-XXS-37.000000E;SiT8008BI MEMs Oszillatoren 30-39,9MHz;SiT8008BI MEMs Oscillators 30-39,9MHz;SMD-MEMS Osz 2,5x2,0 37MHz;SMD MEMS Osc 2,5x2,0 37MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7052;D9803;12-XXS-37.087912E;SiT8008BI MEMs Oszillatoren 30-39,9MHz;SiT8008BI MEMs Oscillators 30-39,9MHz;SMD-MEMS Osz 2,5x2,0 37,087912MHz;SMD MEMS Osc 2,5x2,0 37,087912MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7053;D9803;12-XXS-37.124900E;SiT8008BI MEMs Oszillatoren 30-39,9MHz;SiT8008BI MEMs Oscillators 30-39,9MHz;SMD-MEMS Osz 2,5x2,0 37,1249MHz;SMD MEMS Osc 2,5x2,0 37,1249MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7054;D9803;12-XXS-37.125000E;SiT8008BI MEMs Oszillatoren 30-39,9MHz;SiT8008BI MEMs Oscillators 30-39,9MHz;SMD-MEMS Osz 2,5x2,0 37,125MHz;SMD MEMS Osc 2,5x2,0 37,125MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7055;D9803;12-XXS-37.500000E;SiT8008BI MEMs Oszillatoren 30-39,9MHz;SiT8008BI MEMs Oscillators 30-39,9MHz;SMD-MEMS Osz 2,5x2,0 37,5MHz;SMD MEMS Osc 2,5x2,0 37,5MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7056;D9803;12-XXS-37.930000E;SiT8008BI MEMs Oszillatoren 30-39,9MHz;SiT8008BI MEMs Oscillators 30-39,9MHz;SMD-MEMS Osz 2,5x2,0 37,93MHz;SMD MEMS Osc 2,5x2,0 37,93MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7057;D9803;12-XXS-38.152945E;SiT8008BI MEMs Oszillatoren 30-39,9MHz;SiT8008BI MEMs Oscillators 30-39,9MHz;SMD-MEMS Osz 2,5x2,0 38,152945MHz;SMD MEMS Osc 2,5x2,0 38,152945MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7058;D9803;12-XXS-38.400000E;SiT8008BI MEMs Oszillatoren 30-39,9MHz;SiT8008BI MEMs Oscillators 30-39,9MHz;SMD-MEMS Osz 2,5x2,0 38,4MHz;SMD MEMS Osc 2,5x2,0 38,4MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7059;D9803;12-XXS-38.740000E;SiT8008BI MEMs Oszillatoren 30-39,9MHz;SiT8008BI MEMs Oscillators 30-39,9MHz;SMD-MEMS Osz 2,5x2,0 38,74MHz;SMD MEMS Osc 2,5x2,0 38,74MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7060;D9803;12-XXS-38.880000E;SiT8008BI MEMs Oszillatoren 30-39,9MHz;SiT8008BI MEMs Oscillators 30-39,9MHz;SMD-MEMS Osz 2,5x2,0 38,88MHz;SMD MEMS Osc 2,5x2,0 38,88MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7061;D9803;12-XXS-39.000000E;SiT8008BI MEMs Oszillatoren 30-39,9MHz;SiT8008BI MEMs Oscillators 30-39,9MHz;SMD-MEMS Osz 2,5x2,0 39MHz;SMD MEMS Osc 2,5x2,0 39MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7062;D9803;12-XXS-39.321600E;SiT8008BI MEMs Oszillatoren 30-39,9MHz;SiT8008BI MEMs Oscillators 30-39,9MHz;SMD-MEMS Osz 2,5x2,0 39,3216MHz;SMD MEMS Osc 2,5x2,0 39,3216MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7063;D9803;12-XXS-39.650000E;SiT8008BI MEMs Oszillatoren 30-39,9MHz;SiT8008BI MEMs Oscillators 30-39,9MHz;SMD-MEMS Osz 2,5x2,0 39,65MHz;SMD MEMS Osc 2,5x2,0 39,65MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7064;D9800;12-XXS-4.294400E;SiT8008BI MEMs Oszillatoren 1-9,9MHz;SiT8008BI MEMs Oscillators 1-9,9MHz;SMD-MEMS Osz 2,5x2,0 4,2944MHz;SMD MEMS Osc 2,5x2,0 4,2944MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7065;D9800;12-XXS-4.300000E;SiT8008BI MEMs Oszillatoren 1-9,9MHz;SiT8008BI MEMs Oscillators 1-9,9MHz;SMD-MEMS Osz 2,5x2,0 4,3MHz;SMD MEMS Osc 2,5x2,0 4,3MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7066;D9800;12-XXS-4.318180E;SiT8008BI MEMs Oszillatoren 1-9,9MHz;SiT8008BI MEMs Oscillators 1-9,9MHz;SMD-MEMS Osz 2,5x2,0 4,31818MHz;SMD MEMS Osc 2,5x2,0 4,31818MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
